time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-23 00:00:00+00:00,19,10,28,3
2026-05-24 00:00:00+00:00,25,9,1,1
2026-05-25 00:00:00+00:00,21,8,0,0
2026-05-26 00:00:00+00:00,23,7,0,0
2026-05-27 00:00:00+00:00,14,5,0,0
2026-05-28 00:00:00+00:00,15,6,0,0
2026-05-29 00:00:00+00:00,14,8,0,0
2026-05-30 00:00:00+00:00,17,7,0,0
2026-05-31 00:00:00+00:00,20,10,0,0
2026-06-01 00:00:00+00:00,21,10,0,0
2026-06-02 00:00:00+00:00,14,5,0,0
2026-06-03 00:00:00+00:00,21,7,1,1
2026-06-04 00:00:00+00:00,21,7,0,0
2026-06-05 00:00:00+00:00,18,8,0,0
