time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-08 00:00:00+00:00,11,6,1,1
2026-06-09 00:00:00+00:00,41,18,4,2
2026-06-10 00:00:00+00:00,29,14,5,1
2026-06-11 00:00:00+00:00,23,9,0,0
2026-06-12 00:00:00+00:00,26,11,0,0
2026-06-13 00:00:00+00:00,31,12,0,0
2026-06-14 00:00:00+00:00,37,21,0,0
2026-06-15 00:00:00+00:00,29,13,1,1
2026-06-16 00:00:00+00:00,26,6,0,0
2026-06-17 00:00:00+00:00,21,7,3,1
2026-06-18 00:00:00+00:00,21,7,2,1
2026-06-19 00:00:00+00:00,61,17,3,1
2026-06-20 00:00:00+00:00,57,13,0,0
2026-06-21 00:00:00+00:00,65,17,0,0
